"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 21 21:29:23 GMT 2025","Wed May 21 21:29:24 GMT 2025","918","","WebFormPageTest","","WebFormPageTest","exampleRageTest","exampleRageTest()",""
"skipped","Wed May 21 21:29:27 GMT 2025","Wed May 21 21:29:27 GMT 2025","0","","WebFormPageTest","","WebFormPageTest","fileInputTest","fileInputTest()",""
"passed","Wed May 21 21:29:25 GMT 2025","Wed May 21 21:29:25 GMT 2025","283","","WebFormPageTest","","WebFormPageTest","radioButtonTest","radioButtonTest()",""
"passed","Wed May 21 21:29:29 GMT 2025","Wed May 21 21:29:29 GMT 2025","163","","WebFormPageTest","","WebFormPageTest","openWebFormPagePageTest","openWebFormPagePageTest()",""
"passed","Wed May 21 21:29:27 GMT 2025","Wed May 21 21:29:27 GMT 2025","277","","WebFormPageTest","","WebFormPageTest","returnToHomePageTest","returnToHomePageTest()",""
"passed","Wed May 21 21:29:28 GMT 2025","Wed May 21 21:29:29 GMT 2025","261","","WebFormPageTest","","WebFormPageTest","checkedCheckBoxTest","checkedCheckBoxTest()",""
"passed","Wed May 21 21:29:18 GMT 2025","Wed May 21 21:29:22 GMT 2025","3461","","WebFormPageTest","","WebFormPageTest","textAreaTest","textAreaTest()",""
"skipped","Wed May 21 21:29:25 GMT 2025","Wed May 21 21:29:25 GMT 2025","0","","WebFormPageTest","","WebFormPageTest","colorPickerTest","colorPickerTest()",""
"passed","Wed May 21 21:29:22 GMT 2025","Wed May 21 21:29:22 GMT 2025","361","","WebFormPageTest","","WebFormPageTest","uncheckedCheckBoxTest","uncheckedCheckBoxTest()",""
"passed","Wed May 21 21:29:22 GMT 2025","Wed May 21 21:29:23 GMT 2025","471","","WebFormPageTest","","WebFormPageTest","selectDropdownTest","selectDropdownTest()",""
"passed","Wed May 21 21:29:24 GMT 2025","Wed May 21 21:29:25 GMT 2025","1303","","WebFormPageTest","","WebFormPageTest","inputTextTest","inputTextTest()",""
"passed","Wed May 21 21:29:27 GMT 2025","Wed May 21 21:29:28 GMT 2025","1293","","WebFormPageTest","","WebFormPageTest","passwordFieldTest","passwordFieldTest()",""
"skipped","Wed May 21 21:29:24 GMT 2025","Wed May 21 21:29:24 GMT 2025","0","","WebFormPageTest","","WebFormPageTest","dataListDropdownTest","dataListDropdownTest()",""
"passed","Wed May 21 21:29:22 GMT 2025","Wed May 21 21:29:22 GMT 2025","353","","WebFormPageTest","","WebFormPageTest","disabledInputTest","disabledInputTest()",""
"passed","Wed May 21 21:29:25 GMT 2025","Wed May 21 21:29:27 GMT 2025","1324","","WebFormPageTest","","WebFormPageTest","readOnlyInputTest","readOnlyInputTest()",""
