"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 21 21:23:40 GMT 2025","Wed May 21 21:23:40 GMT 2025","299","","WebFormPageTest","","WebFormPageTest","radioButtonTest","radioButtonTest()",""
"passed","Wed May 21 21:23:44 GMT 2025","Wed May 21 21:23:44 GMT 2025","179","","WebFormPageTest","","WebFormPageTest","openWebFormPagePageTest","openWebFormPagePageTest()",""
"passed","Wed May 21 21:23:40 GMT 2025","Wed May 21 21:23:42 GMT 2025","1330","","WebFormPageTest","","WebFormPageTest","readOnlyInputTest","readOnlyInputTest()",""
"passed","Wed May 21 21:23:25 GMT 2025","Wed May 21 21:23:26 GMT 2025","345","","WebFormPageTest","","WebFormPageTest","disabledInputTest","disabledInputTest()",""
"passed","Wed May 21 21:23:39 GMT 2025","Wed May 21 21:23:40 GMT 2025","1427","","WebFormPageTest","","WebFormPageTest","inputTextTest","inputTextTest()",""
"skipped","Wed May 21 21:23:40 GMT 2025","Wed May 21 21:23:40 GMT 2025","0","","WebFormPageTest","","WebFormPageTest","colorPickerTest","colorPickerTest()",""
"passed","Wed May 21 21:23:42 GMT 2025","Wed May 21 21:23:42 GMT 2025","300","","WebFormPageTest","","WebFormPageTest","returnToHomePageTest","returnToHomePageTest()",""
"passed","Wed May 21 21:23:26 GMT 2025","Wed May 21 21:23:26 GMT 2025","361","","WebFormPageTest","","WebFormPageTest","uncheckedCheckBoxTest","uncheckedCheckBoxTest()",""
"skipped","Wed May 21 21:23:42 GMT 2025","Wed May 21 21:23:42 GMT 2025","0","","WebFormPageTest","","WebFormPageTest","fileInputTest","fileInputTest()",""
"passed","Wed May 21 21:23:26 GMT 2025","Wed May 21 21:23:27 GMT 2025","932","","WebFormPageTest","","WebFormPageTest","exampleRageTest","exampleRageTest()",""
"passed","Wed May 21 21:23:42 GMT 2025","Wed May 21 21:23:43 GMT 2025","1300","","WebFormPageTest","","WebFormPageTest","passwordFieldTest","passwordFieldTest()",""
"passed","Wed May 21 21:23:26 GMT 2025","Wed May 21 21:23:26 GMT 2025","471","","WebFormPageTest","","WebFormPageTest","selectDropdownTest","selectDropdownTest()",""
"passed","Wed May 21 21:23:43 GMT 2025","Wed May 21 21:23:44 GMT 2025","269","","WebFormPageTest","","WebFormPageTest","checkedCheckBoxTest","checkedCheckBoxTest()",""
"passed","Wed May 21 21:23:22 GMT 2025","Wed May 21 21:23:25 GMT 2025","3355","","WebFormPageTest","","WebFormPageTest","textAreaTest","textAreaTest()",""
"broken","Wed May 21 21:23:27 GMT 2025","Wed May 21 21:23:39 GMT 2025","11255","","WebFormPageTest","","WebFormPageTest","dataListDropdownTest","dataListDropdownTest()",""
